
### KERNEL32.dll
  0x10004000  HeapCreate
  0x10004004  GetVersion
  0x10004008  ExitProcess
  0x1000400c  TerminateProcess
  0x10004010  GetCurrentProcess
  0x10004014  GetCurrentThreadId
  0x10004018  TlsSetValue
  0x1000401c  TlsAlloc
  0x10004020  TlsFree
  0x10004024  TlsGetValue
  0x10004028  SetHandleCount
  0x1000402c  GetStdHandle
  0x10004030  GetFileType
  0x10004034  GetStartupInfoA
  0x10004038  DeleteCriticalSection
  0x1000403c  GetModuleFileNameA
  0x10004040  FreeEnvironmentStringsA
  0x10004044  FreeEnvironmentStringsW
  0x10004048  WideCharToMultiByte
  0x1000404c  GetEnvironmentStrings
  0x10004050  GetEnvironmentStringsW
  0x10004054  HeapDestroy
  0x10004058  GetCommandLineA
  0x1000405c  VirtualFree
  0x10004060  HeapFree
  0x10004064  WriteFile
  0x10004068  InitializeCriticalSection
  0x1000406c  EnterCriticalSection
  0x10004070  LeaveCriticalSection
  0x10004074  HeapAlloc
  0x10004078  GetCPInfo
  0x1000407c  GetACP
  0x10004080  GetOEMCP
  0x10004084  VirtualAlloc
  0x10004088  HeapReAlloc
  0x1000408c  GetProcAddress
  0x10004090  LoadLibraryA
  0x10004094  MultiByteToWideChar
  0x10004098  LCMapStringA
  0x1000409c  LCMapStringW
  0x100040a0  GetStringTypeA
  0x100040a4  GetStringTypeW
  0x100040a8  RtlUnwind
